,episode_number,n,frequency,type,correct
71,7,1,0,retrieval,False
72,8,1,0,generalize,False
73,8,1,0,generalize,False
74,8,1,0,generalize,False
75,8,1,0,generalize,False
76,8,1,0,generalize,False
77,8,1,0,retrieval,False
78,8,1,0,retrieval,False
79,8,1,0,retrieval,False
80,8,1,0,retrieval,False
81,9,1,0,generalize,False
82,9,1,0,generalize,False
83,9,1,0,generalize,False
84,9,1,0,generalize,False
85,9,1,0,generalize,False
86,9,1,0,retrieval,False
87,9,1,0,retrieval,False
88,9,1,0,retrieval,False
89,9,1,0,retrieval,False
90,10,1,0,generalize,False
91,10,1,0,generalize,False
92,10,1,0,generalize,False
93,10,1,0,generalize,False
94,10,1,0,generalize,False
95,10,1,0,retrieval,False
96,10,1,0,retrieval,False
97,10,1,0,retrieval,False
98,10,1,0,retrieval,False
99,11,1,0,generalize,False
100,11,1,0,generalize,False
101,11,1,0,generalize,False
102,11,1,0,generalize,False
103,11,1,0,generalize,False
104,11,1,0,retrieval,False
105,11,1,0,retrieval,False
106,11,1,0,retrieval,False
107,11,1,0,retrieval,False
108,12,1,0,generalize,False
109,12,1,0,generalize,False
110,12,1,0,generalize,False
111,12,1,0,generalize,False
112,12,1,0,generalize,False
113,12,1,0,retrieval,False
114,12,1,0,retrieval,False
115,12,1,0,retrieval,False
116,12,1,0,retrieval,False
117,13,1,0,generalize,False
118,13,1,0,generalize,False
119,13,1,0,generalize,False
120,13,1,0,generalize,False
121,13,1,0,generalize,False
122,13,1,0,retrieval,False
123,13,1,0,retrieval,False
124,13,1,0,retrieval,False
125,13,1,0,retrieval,False
126,14,1,0,generalize,False
127,14,1,0,generalize,False
128,14,1,0,generalize,False
129,14,1,0,generalize,False
130,14,1,0,generalize,False
131,14,1,0,retrieval,False
132,14,1,0,retrieval,False
133,14,1,0,retrieval,False
134,14,1,0,retrieval,False
135,15,1,0,generalize,False
136,15,1,0,generalize,False
137,15,1,0,generalize,False
138,15,1,0,generalize,False
139,15,1,0,generalize,False
140,15,1,0,retrieval,False
141,15,1,0,retrieval,False
142,15,1,0,retrieval,False
143,15,1,0,retrieval,False
144,16,1,0,generalize,False
145,16,1,0,generalize,False
146,16,1,0,generalize,False
147,16,1,0,generalize,False
148,16,1,0,generalize,False
149,16,1,0,retrieval,False
150,16,1,0,retrieval,False
151,16,1,0,retrieval,False
152,16,1,0,retrieval,False
153,17,1,0,generalize,False
154,17,1,0,generalize,False
155,17,1,0,generalize,False
156,17,1,0,generalize,False
157,17,1,0,generalize,False
158,17,1,0,retrieval,False
159,17,1,0,retrieval,False
160,17,1,0,retrieval,False
161,17,1,0,retrieval,False
162,18,1,0,generalize,False
163,18,1,0,generalize,False
164,18,1,0,generalize,False
165,18,1,0,generalize,False
166,18,1,0,generalize,False
167,18,1,0,retrieval,False
168,18,1,0,retrieval,False
169,18,1,0,retrieval,False
170,18,1,0,retrieval,False
171,19,1,0,generalize,False
172,19,1,0,generalize,False
173,19,1,0,generalize,False
174,19,1,0,generalize,False
175,19,1,0,generalize,False
176,19,1,0,retrieval,False
177,19,1,0,retrieval,False
178,19,1,0,retrieval,False
179,19,1,0,retrieval,False
180,20,1,0,generalize,False
181,20,1,0,generalize,False
182,20,1,0,generalize,False
183,20,1,0,generalize,False
184,20,1,0,generalize,False
185,20,1,0,retrieval,False
186,20,1,0,retrieval,False
187,20,1,0,retrieval,False
188,20,1,0,retrieval,False
189,21,1,0,generalize,False
190,21,1,0,generalize,False
191,21,1,0,generalize,False
192,21,1,0,generalize,False
193,21,1,0,generalize,False
194,21,1,0,retrieval,False
195,21,1,0,retrieval,False
196,21,1,0,retrieval,False
197,21,1,0,retrieval,False
198,22,1,0,generalize,False
199,22,1,0,generalize,False
200,22,1,0,generalize,False
201,22,1,0,generalize,False
202,22,1,0,generalize,False
203,22,1,0,retrieval,False
204,22,1,0,retrieval,False
205,22,1,0,retrieval,False
206,22,1,0,retrieval,False
207,23,1,0,generalize,False
208,23,1,0,generalize,False
209,23,1,0,generalize,False
210,23,1,0,generalize,False
211,23,1,0,generalize,False
212,23,1,0,retrieval,False
213,23,1,0,retrieval,False
214,23,1,0,retrieval,False
215,23,1,0,retrieval,False
216,24,1,0,generalize,False
217,24,1,0,generalize,False
218,24,1,0,generalize,False
219,24,1,0,generalize,False
220,24,1,0,generalize,False
221,24,1,0,retrieval,False
222,24,1,0,retrieval,False
223,24,1,0,retrieval,False
224,24,1,0,retrieval,False
225,25,1,0,generalize,False
226,25,1,0,generalize,False
227,25,1,0,generalize,False
228,25,1,0,generalize,False
229,25,1,0,generalize,False
230,25,1,0,retrieval,False
231,25,1,0,retrieval,False
232,25,1,0,retrieval,False
233,25,1,0,retrieval,False
234,26,1,0,generalize,False
235,26,1,0,generalize,False
236,26,1,0,generalize,False
237,26,1,0,generalize,False
238,26,1,0,generalize,False
239,26,1,0,retrieval,False
240,26,1,0,retrieval,False
241,26,1,0,retrieval,False
242,26,1,0,retrieval,False
243,27,1,0,generalize,False
244,27,1,0,generalize,False
245,27,1,0,generalize,False
246,27,1,0,generalize,False
247,27,1,0,generalize,False
248,27,1,0,retrieval,False
249,27,1,0,retrieval,False
250,27,1,0,retrieval,False
251,27,1,0,retrieval,False
252,28,1,0,generalize,False
253,28,1,0,generalize,False
254,28,1,0,generalize,False
255,28,1,0,generalize,False
256,28,1,0,generalize,False
257,28,1,0,retrieval,False
258,28,1,0,retrieval,False
259,28,1,0,retrieval,False
260,28,1,0,retrieval,False
261,29,1,0,generalize,False
262,29,1,0,generalize,False
263,29,1,0,generalize,False
264,29,1,0,generalize,False
265,29,1,0,generalize,False
266,29,1,0,retrieval,False
267,29,1,0,retrieval,False
268,29,1,0,retrieval,False
269,29,1,0,retrieval,False
270,30,1,0,generalize,False
271,30,1,0,generalize,False
272,30,1,0,generalize,False
273,30,1,0,generalize,False
274,30,1,0,generalize,False
275,30,1,0,retrieval,False
276,30,1,0,retrieval,False
277,30,1,0,retrieval,False
278,30,1,0,retrieval,False
279,31,1,0,generalize,False
280,31,1,0,generalize,False
281,31,1,0,generalize,False
282,31,1,0,generalize,False
283,31,1,0,generalize,False
284,31,1,0,retrieval,False
285,31,1,0,retrieval,False
286,31,1,0,retrieval,False
287,31,1,0,retrieval,False
288,32,1,0,generalize,False
289,32,1,0,generalize,False
290,32,1,0,generalize,False
291,32,1,0,generalize,False
292,32,1,0,generalize,False
293,32,1,0,retrieval,False
294,32,1,0,retrieval,False
295,32,1,0,retrieval,False
296,32,1,0,retrieval,False
297,33,1,0,generalize,False
298,33,1,0,generalize,False
299,33,1,0,generalize,False
300,33,1,0,generalize,False
301,33,1,0,generalize,False
302,33,1,0,retrieval,False
303,33,1,0,retrieval,False
304,33,1,0,retrieval,False
305,33,1,0,retrieval,False
306,34,1,0,generalize,False
307,34,1,0,generalize,False
308,34,1,0,generalize,False
309,34,1,0,generalize,False
310,34,1,0,generalize,False
311,34,1,0,retrieval,False
312,34,1,0,retrieval,False
313,34,1,0,retrieval,False
314,34,1,0,retrieval,False
315,35,1,0,generalize,False
316,35,1,0,generalize,False
317,35,1,0,generalize,False
318,35,1,0,generalize,False
319,35,1,0,generalize,False
320,35,1,0,retrieval,False
321,35,1,0,retrieval,False
322,35,1,0,retrieval,False
323,35,1,0,retrieval,False
324,36,1,0,generalize,False
325,36,1,0,generalize,False
326,36,1,0,generalize,False
327,36,1,0,generalize,False
328,36,1,0,generalize,False
329,36,1,0,retrieval,False
330,36,1,0,retrieval,False
331,36,1,0,retrieval,False
332,36,1,0,retrieval,False
333,37,1,0,generalize,False
334,37,1,0,generalize,False
335,37,1,0,generalize,False
336,37,1,0,generalize,False
337,37,1,0,generalize,False
338,37,1,0,retrieval,False
339,37,1,0,retrieval,False
340,37,1,0,retrieval,False
341,37,1,0,retrieval,False
342,38,1,0,generalize,False
343,38,1,0,generalize,False
344,38,1,0,generalize,False
345,38,1,0,generalize,False
346,38,1,0,generalize,False
347,38,1,0,retrieval,False
348,38,1,0,retrieval,False
349,38,1,0,retrieval,False
350,38,1,0,retrieval,False
351,39,1,0,generalize,False
352,39,1,0,generalize,False
353,39,1,0,generalize,False
354,39,1,0,generalize,False
355,39,1,0,generalize,False
356,39,1,0,retrieval,False
357,39,1,0,retrieval,False
358,39,1,0,retrieval,False
359,39,1,0,retrieval,False
360,40,1,0,generalize,False
361,40,1,0,generalize,False
362,40,1,0,generalize,False
363,40,1,0,generalize,False
364,40,1,0,generalize,False
365,40,1,0,retrieval,False
366,40,1,0,retrieval,False
367,40,1,0,retrieval,False
368,40,1,0,retrieval,False
369,41,1,0,generalize,False
370,41,1,0,generalize,False
371,41,1,0,generalize,False
372,41,1,0,generalize,False
373,41,1,0,generalize,False
374,41,1,0,retrieval,False
375,41,1,0,retrieval,False
376,41,1,0,retrieval,False
377,41,1,0,retrieval,False
378,42,1,0,generalize,False
379,42,1,0,generalize,False
380,42,1,0,generalize,False
381,42,1,0,generalize,False
382,42,1,0,generalize,False
383,42,1,0,retrieval,False
384,42,1,0,retrieval,False
385,42,1,0,retrieval,False
386,42,1,0,retrieval,False
387,43,1,0,generalize,False
388,43,1,0,generalize,False
389,43,1,0,generalize,False
390,43,1,0,generalize,False
391,43,1,0,generalize,False
392,43,1,0,retrieval,False
393,43,1,0,retrieval,False
394,43,1,0,retrieval,False
395,43,1,0,retrieval,False
396,44,1,0,generalize,False
397,44,1,0,generalize,False
398,44,1,0,generalize,False
399,44,1,0,generalize,False
400,44,1,0,generalize,False
401,44,1,0,retrieval,False
402,44,1,0,retrieval,False
403,44,1,0,retrieval,False
404,44,1,0,retrieval,False
405,45,1,0,generalize,False
406,45,1,0,generalize,False
407,45,1,0,generalize,False
408,45,1,0,generalize,False
409,45,1,0,generalize,False
410,45,1,0,retrieval,False
411,45,1,0,retrieval,False
412,45,1,0,retrieval,False
413,45,1,0,retrieval,False
414,46,1,0,generalize,False
415,46,1,0,generalize,False
416,46,1,0,generalize,False
417,46,1,0,generalize,False
418,46,1,0,generalize,False
419,46,1,0,retrieval,False
420,46,1,0,retrieval,False
421,46,1,0,retrieval,False
422,46,1,0,retrieval,False
423,47,1,0,generalize,False
424,47,1,0,generalize,False
425,47,1,0,generalize,False
426,47,1,0,generalize,False
427,47,1,0,generalize,False
428,47,1,0,retrieval,False
429,47,1,0,retrieval,False
430,47,1,0,retrieval,False
431,47,1,0,retrieval,False
432,48,1,0,generalize,False
433,48,1,0,generalize,False
434,48,1,0,generalize,False
435,48,1,0,generalize,False
436,48,1,0,generalize,False
437,48,1,0,retrieval,False
438,48,1,0,retrieval,False
439,48,1,0,retrieval,False
440,48,1,0,retrieval,False
441,49,1,0,generalize,False
442,49,1,0,generalize,False
443,49,1,0,generalize,False
444,49,1,0,generalize,False
445,49,1,0,generalize,False
446,49,1,0,retrieval,False
447,49,1,0,retrieval,False
448,49,1,0,retrieval,False
449,49,1,0,retrieval,False
450,50,1,0,generalize,False
451,50,1,0,generalize,False
452,50,1,0,generalize,False
453,50,1,0,generalize,False
454,50,1,0,generalize,False
455,50,1,0,retrieval,False
456,50,1,0,retrieval,False
457,50,1,0,retrieval,False
458,50,1,0,retrieval,False
459,51,1,0,generalize,False
460,51,1,0,generalize,False
461,51,1,0,generalize,False
462,51,1,0,generalize,False
463,51,1,0,generalize,False
464,51,1,0,retrieval,False
465,51,1,0,retrieval,False
466,51,1,0,retrieval,False
467,51,1,0,retrieval,False
468,52,1,0,generalize,False
469,52,1,0,generalize,False
470,52,1,0,generalize,False
471,52,1,0,generalize,False
472,52,1,0,generalize,False
473,52,1,0,retrieval,False
474,52,1,0,retrieval,False
475,52,1,0,retrieval,False
476,52,1,0,retrieval,False
477,53,1,0,generalize,False
478,53,1,0,generalize,False
479,53,1,0,generalize,False
480,53,1,0,generalize,False
481,53,1,0,generalize,False
482,53,1,0,retrieval,False
483,53,1,0,retrieval,False
484,53,1,0,retrieval,False
485,53,1,0,retrieval,False
486,54,1,0,generalize,False
487,54,1,0,generalize,False
488,54,1,0,generalize,False
489,54,1,0,generalize,False
490,54,1,0,generalize,False
491,54,1,0,retrieval,False
492,54,1,0,retrieval,False
493,54,1,0,retrieval,False
494,54,1,0,retrieval,False
495,55,1,0,generalize,False
496,55,1,0,generalize,False
497,55,1,0,generalize,False
498,55,1,0,generalize,False
499,55,1,0,generalize,False
500,55,1,0,retrieval,False
501,55,1,0,retrieval,False
502,55,1,0,retrieval,False
503,55,1,0,retrieval,False
504,56,1,0,generalize,False
505,56,1,0,generalize,False
506,56,1,0,generalize,False
507,56,1,0,generalize,False
508,56,1,0,generalize,False
509,56,1,0,retrieval,False
510,56,1,0,retrieval,False
511,56,1,0,retrieval,False
512,56,1,0,retrieval,False
513,57,1,0,generalize,False
514,57,1,0,generalize,False
515,57,1,0,generalize,False
516,57,1,0,generalize,False
517,57,1,0,generalize,False
518,57,1,0,retrieval,False
519,57,1,0,retrieval,False
520,57,1,0,retrieval,False
521,57,1,0,retrieval,False
522,58,1,0,generalize,False
523,58,1,0,generalize,False
524,58,1,0,generalize,False
525,58,1,0,generalize,False
526,58,1,0,generalize,False
527,58,1,0,retrieval,False
528,58,1,0,retrieval,False
529,58,1,0,retrieval,False
530,58,1,0,retrieval,False
531,59,1,0,generalize,False
532,59,1,0,generalize,False
533,59,1,0,generalize,False
534,59,1,0,generalize,False
535,59,1,0,generalize,False
536,59,1,0,retrieval,False
537,59,1,0,retrieval,False
538,59,1,0,retrieval,False
539,59,1,0,retrieval,False
540,60,1,0,generalize,False
541,60,1,0,generalize,False
542,60,1,0,generalize,False
543,60,1,0,generalize,False
544,60,1,0,generalize,False
545,60,1,0,retrieval,False
546,60,1,0,retrieval,False
547,60,1,0,retrieval,False
548,60,1,0,retrieval,False
549,61,1,0,generalize,False
550,61,1,0,generalize,False
551,61,1,0,generalize,False
552,61,1,0,generalize,False
553,61,1,0,generalize,False
554,61,1,0,retrieval,False
555,61,1,0,retrieval,False
556,61,1,0,retrieval,False
557,61,1,0,retrieval,False
558,62,1,0,generalize,False
559,62,1,0,generalize,False
560,62,1,0,generalize,False
561,62,1,0,generalize,False
562,62,1,0,generalize,False
563,62,1,0,retrieval,False
564,62,1,0,retrieval,False
565,62,1,0,retrieval,False
566,62,1,0,retrieval,False
567,63,1,0,generalize,False
568,63,1,0,generalize,False
569,63,1,0,generalize,False
570,63,1,0,generalize,False
571,63,1,0,generalize,False
572,63,1,0,retrieval,False
573,63,1,0,retrieval,False
574,63,1,0,retrieval,False
575,63,1,0,retrieval,False
576,64,1,0,generalize,False
577,64,1,0,generalize,False
578,64,1,0,generalize,False
579,64,1,0,generalize,False
580,64,1,0,generalize,False
581,64,1,0,retrieval,False
582,64,1,0,retrieval,False
583,64,1,0,retrieval,False
584,64,1,0,retrieval,False
585,65,1,0,generalize,False
586,65,1,0,generalize,False
587,65,1,0,generalize,False
588,65,1,0,generalize,False
589,65,1,0,generalize,False
590,65,1,0,retrieval,False
591,65,1,0,retrieval,False
592,65,1,0,retrieval,False
593,65,1,0,retrieval,False
594,66,1,0,generalize,False
595,66,1,0,generalize,False
596,66,1,0,generalize,False
597,66,1,0,generalize,False
598,66,1,0,generalize,False
599,66,1,0,retrieval,False
600,66,1,0,retrieval,False
601,66,1,0,retrieval,False
602,66,1,0,retrieval,False
603,67,1,0,generalize,False
604,67,1,0,generalize,False
605,67,1,0,generalize,False
606,67,1,0,generalize,False
607,67,1,0,generalize,False
608,67,1,0,retrieval,False
609,67,1,0,retrieval,False
610,67,1,0,retrieval,False
611,67,1,0,retrieval,False
612,68,1,0,generalize,False
613,68,1,0,generalize,False
614,68,1,0,generalize,False
615,68,1,0,generalize,False
616,68,1,0,generalize,False
617,68,1,0,retrieval,False
618,68,1,0,retrieval,False
619,68,1,0,retrieval,False
620,68,1,0,retrieval,False
621,69,1,0,generalize,False
622,69,1,0,generalize,False
623,69,1,0,generalize,False
624,69,1,0,generalize,False
625,69,1,0,generalize,False
626,69,1,0,retrieval,False
627,69,1,0,retrieval,False
628,69,1,0,retrieval,False
629,69,1,0,retrieval,False
630,70,1,0,generalize,False
631,70,1,0,generalize,False
632,70,1,0,generalize,False
633,70,1,0,generalize,False
634,70,1,0,generalize,False
635,70,1,0,retrieval,False
636,70,1,0,retrieval,False
637,70,1,0,retrieval,False
638,70,1,0,retrieval,False
639,71,1,0,generalize,False
640,71,1,0,generalize,False
641,71,1,0,generalize,False
642,71,1,0,generalize,False
643,71,1,0,generalize,False
644,71,1,0,retrieval,False
645,71,1,0,retrieval,False
646,71,1,0,retrieval,False
647,71,1,0,retrieval,False
648,72,1,0,generalize,False
649,72,1,0,generalize,False
650,72,1,0,generalize,False
651,72,1,0,generalize,False
652,72,1,0,generalize,False
653,72,1,0,retrieval,False
654,72,1,0,retrieval,False
655,72,1,0,retrieval,False
656,72,1,0,retrieval,False
657,73,1,0,generalize,False
658,73,1,0,generalize,False
659,73,1,0,generalize,False
660,73,1,0,generalize,False
661,73,1,0,generalize,False
662,73,1,0,retrieval,False
663,73,1,0,retrieval,False
664,73,1,0,retrieval,False
665,73,1,0,retrieval,False
666,74,1,0,generalize,False
667,74,1,0,generalize,False
668,74,1,0,generalize,False
669,74,1,0,generalize,False
670,74,1,0,generalize,False
671,74,1,0,retrieval,False
672,74,1,0,retrieval,False
673,74,1,0,retrieval,False
674,74,1,0,retrieval,False
675,75,1,0,generalize,False
676,75,1,0,generalize,False
677,75,1,0,generalize,False
678,75,1,0,generalize,False
679,75,1,0,generalize,False
680,75,1,0,retrieval,False
681,75,1,0,retrieval,False
682,75,1,0,retrieval,False
683,75,1,0,retrieval,False
684,76,1,0,generalize,False
685,76,1,0,generalize,False
686,76,1,0,generalize,False
687,76,1,0,generalize,False
688,76,1,0,generalize,False
689,76,1,0,retrieval,False
690,76,1,0,retrieval,False
691,76,1,0,retrieval,False
692,76,1,0,retrieval,False
693,77,1,0,generalize,False
694,77,1,0,generalize,False
695,77,1,0,generalize,False
696,77,1,0,generalize,False
697,77,1,0,generalize,False
698,77,1,0,retrieval,False
699,77,1,0,retrieval,False
700,77,1,0,retrieval,False
701,77,1,0,retrieval,False
702,78,1,0,generalize,False
703,78,1,0,generalize,False
704,78,1,0,generalize,False
705,78,1,0,generalize,False
706,78,1,0,generalize,False
707,78,1,0,retrieval,False
708,78,1,0,retrieval,False
709,78,1,0,retrieval,False
710,78,1,0,retrieval,False
711,79,1,0,generalize,False
712,79,1,0,generalize,False
713,79,1,0,generalize,False
714,79,1,0,generalize,False
715,79,1,0,generalize,False
716,79,1,0,retrieval,False
717,79,1,0,retrieval,False
718,79,1,0,retrieval,False
719,79,1,0,retrieval,False
720,80,1,0,generalize,False
721,80,1,0,generalize,False
722,80,1,0,generalize,False
723,80,1,0,generalize,False
724,80,1,0,generalize,False
725,80,1,0,retrieval,False
726,80,1,0,retrieval,False
727,80,1,0,retrieval,False
728,80,1,0,retrieval,False
729,81,1,0,generalize,False
730,81,1,0,generalize,False
731,81,1,0,generalize,False
732,81,1,0,generalize,False
733,81,1,0,generalize,False
734,81,1,0,retrieval,False
735,81,1,0,retrieval,False
736,81,1,0,retrieval,False
737,81,1,0,retrieval,False
738,82,1,0,generalize,False
739,82,1,0,generalize,False
740,82,1,0,generalize,False
741,82,1,0,generalize,False
742,82,1,0,generalize,False
743,82,1,0,retrieval,False
744,82,1,0,retrieval,False
745,82,1,0,retrieval,False
746,82,1,0,retrieval,False
747,83,1,0,generalize,False
748,83,1,0,generalize,False
749,83,1,0,generalize,False
750,83,1,0,generalize,False
751,83,1,0,generalize,False
752,83,1,0,retrieval,False
753,83,1,0,retrieval,False
754,83,1,0,retrieval,False
755,83,1,0,retrieval,False
756,84,1,0,generalize,False
757,84,1,0,generalize,False
758,84,1,0,generalize,False
759,84,1,0,generalize,False
760,84,1,0,generalize,False
761,84,1,0,retrieval,False
762,84,1,0,retrieval,False
763,84,1,0,retrieval,False
764,84,1,0,retrieval,False
765,85,1,0,generalize,False
766,85,1,0,generalize,False
767,85,1,0,generalize,False
768,85,1,0,generalize,False
769,85,1,0,generalize,False
770,85,1,0,retrieval,False
771,85,1,0,retrieval,False
772,85,1,0,retrieval,False
773,85,1,0,retrieval,False
774,86,1,0,generalize,False
775,86,1,0,generalize,False
776,86,1,0,generalize,False
777,86,1,0,generalize,False
778,86,1,0,generalize,False
779,86,1,0,retrieval,False
780,86,1,0,retrieval,False
781,86,1,0,retrieval,False
782,86,1,0,retrieval,False
783,87,1,0,generalize,False
784,87,1,0,generalize,False
785,87,1,0,generalize,False
786,87,1,0,generalize,False
787,87,1,0,generalize,False
788,87,1,0,retrieval,False
789,87,1,0,retrieval,False
790,87,1,0,retrieval,False
791,87,1,0,retrieval,False
792,88,1,0,generalize,False
793,88,1,0,generalize,False
794,88,1,0,generalize,False
795,88,1,0,generalize,False
796,88,1,0,generalize,False
797,88,1,0,retrieval,False
798,88,1,0,retrieval,False
799,88,1,0,retrieval,False
800,88,1,0,retrieval,False
801,89,1,0,generalize,False
802,89,1,0,generalize,False
803,89,1,0,generalize,False
804,89,1,0,generalize,False
805,89,1,0,generalize,False
806,89,1,0,retrieval,False
807,89,1,0,retrieval,False
808,89,1,0,retrieval,False
809,89,1,0,retrieval,False
810,90,1,0,generalize,False
811,90,1,0,generalize,False
812,90,1,0,generalize,False
813,90,1,0,generalize,False
814,90,1,0,generalize,False
815,90,1,0,retrieval,False
816,90,1,0,retrieval,False
817,90,1,0,retrieval,False
818,90,1,0,retrieval,False
819,91,1,0,generalize,False
820,91,1,0,generalize,False
821,91,1,0,generalize,False
822,91,1,0,generalize,False
823,91,1,0,generalize,False
824,91,1,0,retrieval,False
825,91,1,0,retrieval,False
826,91,1,0,retrieval,False
827,91,1,0,retrieval,False
828,92,1,0,generalize,False
829,92,1,0,generalize,False
830,92,1,0,generalize,False
831,92,1,0,generalize,False
832,92,1,0,generalize,False
833,92,1,0,retrieval,False
834,92,1,0,retrieval,False
835,92,1,0,retrieval,False
836,92,1,0,retrieval,False
837,93,1,0,generalize,False
838,93,1,0,generalize,False
839,93,1,0,generalize,False
840,93,1,0,generalize,False
841,93,1,0,generalize,False
842,93,1,0,retrieval,False
843,93,1,0,retrieval,False
844,93,1,0,retrieval,False
845,93,1,0,retrieval,False
846,94,1,0,generalize,False
847,94,1,0,generalize,False
848,94,1,0,generalize,False
849,94,1,0,generalize,False
850,94,1,0,generalize,False
851,94,1,0,retrieval,False
852,94,1,0,retrieval,False
853,94,1,0,retrieval,False
854,94,1,0,retrieval,False
855,95,1,0,generalize,False
856,95,1,0,generalize,False
857,95,1,0,generalize,False
858,95,1,0,generalize,False
859,95,1,0,generalize,False
860,95,1,0,retrieval,False
861,95,1,0,retrieval,False
862,95,1,0,retrieval,False
863,95,1,0,retrieval,False
864,96,1,0,generalize,False
865,96,1,0,generalize,False
866,96,1,0,generalize,False
867,96,1,0,generalize,False
868,96,1,0,generalize,False
869,96,1,0,retrieval,False
870,96,1,0,retrieval,False
871,96,1,0,retrieval,False
872,96,1,0,retrieval,False
873,97,1,0,generalize,False
874,97,1,0,generalize,False
875,97,1,0,generalize,False
876,97,1,0,generalize,False
877,97,1,0,generalize,False
878,97,1,0,retrieval,False
879,97,1,0,retrieval,False
880,97,1,0,retrieval,False
881,97,1,0,retrieval,False
882,98,1,0,generalize,False
883,98,1,0,generalize,False
884,98,1,0,generalize,False
885,98,1,0,generalize,False
886,98,1,0,generalize,False
887,98,1,0,retrieval,False
888,98,1,0,retrieval,False
889,98,1,0,retrieval,False
890,98,1,0,retrieval,False
891,99,1,0,generalize,False
892,99,1,0,generalize,False
893,99,1,0,generalize,False
894,99,1,0,generalize,False
895,99,1,0,generalize,False
896,99,1,0,generalize,True
897,99,1,0,generalize,True
898,99,1,0,generalize,True
0,0,2,45318,generalize,True
1,0,2,45318,generalize,True
2,0,2,45318,generalize,True
3,0,2,45318,generalize,True
4,0,2,45318,generalize,False
5,0,2,45318,retrieval,True
6,0,2,45318,retrieval,True
7,0,2,45318,retrieval,True
8,0,2,45318,retrieval,True
9,1,2,45318,generalize,True
10,1,2,45318,generalize,True
11,1,2,45318,generalize,True
12,1,2,45318,generalize,True
13,1,2,45318,generalize,False
14,1,2,45318,retrieval,True
15,1,2,45318,retrieval,True
16,1,2,45318,retrieval,True
17,1,2,45318,retrieval,True
18,2,2,45318,generalize,True
19,2,2,45318,generalize,True
20,2,2,45318,generalize,True
21,2,2,45318,generalize,True
22,2,2,45318,generalize,False
23,2,2,45318,retrieval,True
24,2,2,45318,retrieval,True
25,2,2,45318,retrieval,True
26,2,2,45318,retrieval,True
27,3,2,45318,generalize,True
28,3,2,45318,generalize,True
29,3,2,45318,generalize,True
30,3,2,45318,generalize,True
31,3,2,45318,generalize,True
32,3,2,45318,retrieval,True
33,3,2,45318,retrieval,True
34,3,2,45318,retrieval,True
35,3,2,45318,retrieval,True
36,4,2,45318,generalize,True
37,4,2,45318,generalize,True
38,4,2,45318,generalize,True
39,4,2,45318,generalize,True
40,4,2,45318,generalize,False
41,4,2,45318,retrieval,True
42,4,2,45318,retrieval,True
43,4,2,45318,retrieval,True
44,4,2,45318,retrieval,True
45,5,2,45318,generalize,True
46,5,2,45318,generalize,True
47,5,2,45318,generalize,True
48,5,2,45318,generalize,True
49,5,2,45318,generalize,True
50,5,2,45318,retrieval,True
51,5,2,45318,retrieval,True
52,5,2,45318,retrieval,True
53,5,2,45318,retrieval,True
54,6,2,45318,generalize,True
55,6,2,45318,generalize,True
56,6,2,45318,generalize,True
57,6,2,45318,generalize,True
58,6,2,45318,generalize,False
59,6,2,45318,retrieval,True
60,6,2,45318,retrieval,True
61,6,2,45318,retrieval,True
62,6,2,45318,retrieval,True
