,episode_number,n,frequency,model,type,correct,pure_application
106,11,1,0,replication.pt,retrieval,False,False
107,11,1,0,replication.pt,retrieval,False,False
108,12,1,0,replication.pt,generalize,False,True
109,12,1,0,replication.pt,generalize,False,False
110,12,1,0,replication.pt,generalize,False,False
111,12,1,0,replication.pt,generalize,False,False
112,12,1,0,replication.pt,generalize,False,False
113,12,1,0,replication.pt,retrieval,False,False
114,12,1,0,replication.pt,retrieval,False,False
115,12,1,0,replication.pt,retrieval,False,False
116,12,1,0,replication.pt,retrieval,False,False
117,13,1,0,replication.pt,generalize,False,True
118,13,1,0,replication.pt,generalize,False,False
119,13,1,0,replication.pt,generalize,False,False
120,13,1,0,replication.pt,generalize,False,False
121,13,1,0,replication.pt,generalize,False,False
122,13,1,0,replication.pt,retrieval,False,False
123,13,1,0,replication.pt,retrieval,False,False
124,13,1,0,replication.pt,retrieval,False,False
125,13,1,0,replication.pt,retrieval,False,False
126,14,1,0,replication.pt,generalize,False,True
127,14,1,0,replication.pt,generalize,False,False
128,14,1,0,replication.pt,generalize,False,False
129,14,1,0,replication.pt,generalize,False,False
130,14,1,0,replication.pt,generalize,True,False
131,14,1,0,replication.pt,retrieval,False,False
132,14,1,0,replication.pt,retrieval,False,False
133,14,1,0,replication.pt,retrieval,False,False
134,14,1,0,replication.pt,retrieval,False,False
135,15,1,0,replication.pt,generalize,False,True
136,15,1,0,replication.pt,generalize,False,False
137,15,1,0,replication.pt,generalize,False,False
138,15,1,0,replication.pt,generalize,False,False
139,15,1,0,replication.pt,generalize,True,False
140,15,1,0,replication.pt,retrieval,False,False
141,15,1,0,replication.pt,retrieval,False,False
142,15,1,0,replication.pt,retrieval,False,False
143,15,1,0,replication.pt,retrieval,False,False
144,16,1,0,replication.pt,generalize,False,True
145,16,1,0,replication.pt,generalize,False,False
146,16,1,0,replication.pt,generalize,False,False
147,16,1,0,replication.pt,generalize,False,False
148,16,1,0,replication.pt,generalize,True,False
149,16,1,0,replication.pt,retrieval,False,False
150,16,1,0,replication.pt,retrieval,False,False
151,16,1,0,replication.pt,retrieval,False,False
152,16,1,0,replication.pt,retrieval,False,False
153,17,1,0,replication.pt,generalize,False,True
154,17,1,0,replication.pt,generalize,False,False
155,17,1,0,replication.pt,generalize,False,False
156,17,1,0,replication.pt,generalize,False,False
157,17,1,0,replication.pt,generalize,True,False
158,17,1,0,replication.pt,retrieval,False,False
159,17,1,0,replication.pt,retrieval,False,False
160,17,1,0,replication.pt,retrieval,False,False
161,17,1,0,replication.pt,retrieval,False,False
162,18,1,0,replication.pt,generalize,False,True
163,18,1,0,replication.pt,generalize,False,False
164,18,1,0,replication.pt,generalize,False,False
165,18,1,0,replication.pt,generalize,False,False
166,18,1,0,replication.pt,generalize,False,False
167,18,1,0,replication.pt,retrieval,False,False
168,18,1,0,replication.pt,retrieval,False,False
169,18,1,0,replication.pt,retrieval,False,False
170,18,1,0,replication.pt,retrieval,False,False
171,19,1,0,replication.pt,generalize,False,True
172,19,1,0,replication.pt,generalize,False,False
173,19,1,0,replication.pt,generalize,False,False
174,19,1,0,replication.pt,generalize,False,False
175,19,1,0,replication.pt,generalize,False,False
176,19,1,0,replication.pt,retrieval,False,False
177,19,1,0,replication.pt,retrieval,False,False
178,19,1,0,replication.pt,retrieval,False,False
179,19,1,0,replication.pt,retrieval,False,False
180,20,1,0,replication.pt,generalize,False,True
181,20,1,0,replication.pt,generalize,False,False
182,20,1,0,replication.pt,generalize,False,False
183,20,1,0,replication.pt,generalize,False,False
184,20,1,0,replication.pt,generalize,False,False
185,20,1,0,replication.pt,retrieval,False,False
186,20,1,0,replication.pt,retrieval,False,False
187,20,1,0,replication.pt,retrieval,False,False
188,20,1,0,replication.pt,retrieval,False,False
189,21,1,0,replication.pt,generalize,False,True
190,21,1,0,replication.pt,generalize,False,False
191,21,1,0,replication.pt,generalize,False,False
192,21,1,0,replication.pt,generalize,False,False
193,21,1,0,replication.pt,generalize,False,False
194,21,1,0,replication.pt,retrieval,False,False
195,21,1,0,replication.pt,retrieval,False,False
196,21,1,0,replication.pt,retrieval,False,False
197,21,1,0,replication.pt,retrieval,False,False
198,22,1,0,replication.pt,generalize,False,True
199,22,1,0,replication.pt,generalize,False,False
200,22,1,0,replication.pt,generalize,False,False
201,22,1,0,replication.pt,generalize,False,False
202,22,1,0,replication.pt,generalize,True,False
203,22,1,0,replication.pt,retrieval,False,False
204,22,1,0,replication.pt,retrieval,False,False
205,22,1,0,replication.pt,retrieval,False,False
206,22,1,0,replication.pt,retrieval,False,False
207,23,1,0,replication.pt,generalize,False,True
208,23,1,0,replication.pt,generalize,False,False
209,23,1,0,replication.pt,generalize,False,False
210,23,1,0,replication.pt,generalize,False,False
211,23,1,0,replication.pt,generalize,False,False
212,23,1,0,replication.pt,retrieval,False,False
213,23,1,0,replication.pt,retrieval,False,False
214,23,1,0,replication.pt,retrieval,False,False
215,23,1,0,replication.pt,retrieval,False,False
216,24,1,0,replication.pt,generalize,False,True
217,24,1,0,replication.pt,generalize,False,False
218,24,1,0,replication.pt,generalize,False,False
219,24,1,0,replication.pt,generalize,False,False
220,24,1,0,replication.pt,generalize,False,False
221,24,1,0,replication.pt,retrieval,False,False
222,24,1,0,replication.pt,retrieval,False,False
223,24,1,0,replication.pt,retrieval,False,False
224,24,1,0,replication.pt,retrieval,False,False
225,25,1,0,replication.pt,generalize,False,True
226,25,1,0,replication.pt,generalize,False,False
227,25,1,0,replication.pt,generalize,False,False
228,25,1,0,replication.pt,generalize,False,False
229,25,1,0,replication.pt,generalize,False,False
230,25,1,0,replication.pt,retrieval,False,False
231,25,1,0,replication.pt,retrieval,False,False
232,25,1,0,replication.pt,retrieval,False,False
233,25,1,0,replication.pt,retrieval,False,False
234,26,1,0,replication.pt,generalize,False,True
235,26,1,0,replication.pt,generalize,False,False
236,26,1,0,replication.pt,generalize,False,False
237,26,1,0,replication.pt,generalize,False,False
238,26,1,0,replication.pt,generalize,False,False
239,26,1,0,replication.pt,retrieval,False,False
240,26,1,0,replication.pt,retrieval,False,False
241,26,1,0,replication.pt,retrieval,False,False
242,26,1,0,replication.pt,retrieval,False,False
243,27,1,0,replication.pt,generalize,False,True
244,27,1,0,replication.pt,generalize,False,False
245,27,1,0,replication.pt,generalize,False,False
246,27,1,0,replication.pt,generalize,False,False
247,27,1,0,replication.pt,generalize,True,False
248,27,1,0,replication.pt,retrieval,False,False
249,27,1,0,replication.pt,retrieval,False,False
250,27,1,0,replication.pt,retrieval,False,False
251,27,1,0,replication.pt,retrieval,False,False
252,28,1,0,replication.pt,generalize,False,True
253,28,1,0,replication.pt,generalize,False,False
254,28,1,0,replication.pt,generalize,False,False
255,28,1,0,replication.pt,generalize,False,False
256,28,1,0,replication.pt,generalize,True,False
257,28,1,0,replication.pt,retrieval,False,False
258,28,1,0,replication.pt,retrieval,False,False
259,28,1,0,replication.pt,retrieval,False,False
260,28,1,0,replication.pt,retrieval,False,False
261,29,1,0,replication.pt,generalize,False,True
262,29,1,0,replication.pt,generalize,False,False
263,29,1,0,replication.pt,generalize,False,False
264,29,1,0,replication.pt,generalize,False,False
265,29,1,0,replication.pt,generalize,False,False
266,29,1,0,replication.pt,retrieval,False,False
267,29,1,0,replication.pt,retrieval,False,False
268,29,1,0,replication.pt,retrieval,False,False
269,29,1,0,replication.pt,retrieval,False,False
270,30,1,0,replication.pt,generalize,False,True
271,30,1,0,replication.pt,generalize,False,False
272,30,1,0,replication.pt,generalize,False,False
273,30,1,0,replication.pt,generalize,False,False
274,30,1,0,replication.pt,generalize,True,False
275,30,1,0,replication.pt,retrieval,False,False
276,30,1,0,replication.pt,retrieval,False,False
277,30,1,0,replication.pt,retrieval,False,False
278,30,1,0,replication.pt,retrieval,False,False
279,31,1,0,replication.pt,generalize,False,True
280,31,1,0,replication.pt,generalize,False,False
281,31,1,0,replication.pt,generalize,False,False
282,31,1,0,replication.pt,generalize,False,False
283,31,1,0,replication.pt,generalize,False,False
284,31,1,0,replication.pt,retrieval,False,False
285,31,1,0,replication.pt,retrieval,False,False
286,31,1,0,replication.pt,retrieval,False,False
287,31,1,0,replication.pt,retrieval,False,False
288,32,1,0,replication.pt,generalize,False,True
289,32,1,0,replication.pt,generalize,False,False
290,32,1,0,replication.pt,generalize,False,False
291,32,1,0,replication.pt,generalize,False,False
292,32,1,0,replication.pt,generalize,False,False
293,32,1,0,replication.pt,retrieval,False,False
294,32,1,0,replication.pt,retrieval,False,False
295,32,1,0,replication.pt,retrieval,False,False
296,32,1,0,replication.pt,retrieval,False,False
297,33,1,0,replication.pt,generalize,False,True
298,33,1,0,replication.pt,generalize,False,False
299,33,1,0,replication.pt,generalize,False,False
300,33,1,0,replication.pt,generalize,False,False
301,33,1,0,replication.pt,generalize,False,False
302,33,1,0,replication.pt,retrieval,False,False
303,33,1,0,replication.pt,retrieval,False,False
304,33,1,0,replication.pt,retrieval,False,False
305,33,1,0,replication.pt,retrieval,False,False
306,34,1,0,replication.pt,generalize,False,True
307,34,1,0,replication.pt,generalize,False,False
308,34,1,0,replication.pt,generalize,False,False
309,34,1,0,replication.pt,generalize,False,False
310,34,1,0,replication.pt,generalize,True,False
311,34,1,0,replication.pt,retrieval,False,False
312,34,1,0,replication.pt,retrieval,False,False
313,34,1,0,replication.pt,retrieval,False,False
314,34,1,0,replication.pt,retrieval,False,False
315,35,1,0,replication.pt,generalize,False,True
316,35,1,0,replication.pt,generalize,False,False
317,35,1,0,replication.pt,generalize,False,False
318,35,1,0,replication.pt,generalize,False,False
319,35,1,0,replication.pt,generalize,True,False
320,35,1,0,replication.pt,retrieval,False,False
321,35,1,0,replication.pt,retrieval,False,False
322,35,1,0,replication.pt,retrieval,False,False
323,35,1,0,replication.pt,retrieval,False,False
324,36,1,0,replication.pt,generalize,False,True
325,36,1,0,replication.pt,generalize,False,False
326,36,1,0,replication.pt,generalize,False,False
327,36,1,0,replication.pt,generalize,False,False
328,36,1,0,replication.pt,generalize,False,False
329,36,1,0,replication.pt,retrieval,False,False
330,36,1,0,replication.pt,retrieval,False,False
331,36,1,0,replication.pt,retrieval,False,False
332,36,1,0,replication.pt,retrieval,False,False
333,37,1,0,replication.pt,generalize,False,True
334,37,1,0,replication.pt,generalize,False,False
335,37,1,0,replication.pt,generalize,False,False
336,37,1,0,replication.pt,generalize,False,False
337,37,1,0,replication.pt,generalize,True,False
338,37,1,0,replication.pt,retrieval,False,False
339,37,1,0,replication.pt,retrieval,False,False
340,37,1,0,replication.pt,retrieval,False,False
341,37,1,0,replication.pt,retrieval,False,False
342,38,1,0,replication.pt,generalize,False,True
343,38,1,0,replication.pt,generalize,False,False
344,38,1,0,replication.pt,generalize,False,False
345,38,1,0,replication.pt,generalize,False,False
346,38,1,0,replication.pt,generalize,False,False
347,38,1,0,replication.pt,retrieval,False,False
348,38,1,0,replication.pt,retrieval,False,False
349,38,1,0,replication.pt,retrieval,False,False
350,38,1,0,replication.pt,retrieval,False,False
351,39,1,0,replication.pt,generalize,False,True
352,39,1,0,replication.pt,generalize,False,False
353,39,1,0,replication.pt,generalize,False,False
354,39,1,0,replication.pt,generalize,False,False
355,39,1,0,replication.pt,generalize,False,False
356,39,1,0,replication.pt,retrieval,False,False
357,39,1,0,replication.pt,retrieval,False,False
358,39,1,0,replication.pt,retrieval,False,False
359,39,1,0,replication.pt,retrieval,False,False
360,40,1,0,replication.pt,generalize,False,True
361,40,1,0,replication.pt,generalize,False,False
362,40,1,0,replication.pt,generalize,False,False
363,40,1,0,replication.pt,generalize,False,False
364,40,1,0,replication.pt,generalize,True,False
365,40,1,0,replication.pt,retrieval,False,False
366,40,1,0,replication.pt,retrieval,False,False
367,40,1,0,replication.pt,retrieval,False,False
368,40,1,0,replication.pt,retrieval,False,False
369,41,1,0,replication.pt,generalize,False,True
370,41,1,0,replication.pt,generalize,False,False
371,41,1,0,replication.pt,generalize,False,False
372,41,1,0,replication.pt,generalize,False,False
373,41,1,0,replication.pt,generalize,False,False
374,41,1,0,replication.pt,retrieval,False,False
375,41,1,0,replication.pt,retrieval,False,False
376,41,1,0,replication.pt,retrieval,False,False
377,41,1,0,replication.pt,retrieval,False,False
378,42,1,0,replication.pt,generalize,False,True
379,42,1,0,replication.pt,generalize,False,False
380,42,1,0,replication.pt,generalize,False,False
381,42,1,0,replication.pt,generalize,False,False
382,42,1,0,replication.pt,generalize,False,False
383,42,1,0,replication.pt,retrieval,False,False
384,42,1,0,replication.pt,retrieval,False,False
385,42,1,0,replication.pt,retrieval,False,False
386,42,1,0,replication.pt,retrieval,False,False
387,43,1,0,replication.pt,generalize,False,True
388,43,1,0,replication.pt,generalize,False,False
389,43,1,0,replication.pt,generalize,False,False
390,43,1,0,replication.pt,generalize,False,False
391,43,1,0,replication.pt,generalize,False,False
392,43,1,0,replication.pt,retrieval,False,False
393,43,1,0,replication.pt,retrieval,False,False
394,43,1,0,replication.pt,retrieval,False,False
395,43,1,0,replication.pt,retrieval,False,False
396,44,1,0,replication.pt,generalize,False,True
397,44,1,0,replication.pt,generalize,False,False
398,44,1,0,replication.pt,generalize,False,False
399,44,1,0,replication.pt,generalize,False,False
400,44,1,0,replication.pt,generalize,True,False
401,44,1,0,replication.pt,retrieval,False,False
402,44,1,0,replication.pt,retrieval,False,False
403,44,1,0,replication.pt,retrieval,False,False
404,44,1,0,replication.pt,retrieval,False,False
405,45,1,0,replication.pt,generalize,False,True
406,45,1,0,replication.pt,generalize,False,False
407,45,1,0,replication.pt,generalize,False,False
408,45,1,0,replication.pt,generalize,False,False
409,45,1,0,replication.pt,generalize,True,False
410,45,1,0,replication.pt,retrieval,False,False
411,45,1,0,replication.pt,retrieval,False,False
412,45,1,0,replication.pt,retrieval,False,False
413,45,1,0,replication.pt,retrieval,False,False
414,46,1,0,replication.pt,generalize,False,True
415,46,1,0,replication.pt,generalize,False,False
416,46,1,0,replication.pt,generalize,False,False
417,46,1,0,replication.pt,generalize,False,False
418,46,1,0,replication.pt,generalize,False,False
419,46,1,0,replication.pt,retrieval,False,False
420,46,1,0,replication.pt,retrieval,False,False
421,46,1,0,replication.pt,retrieval,False,False
422,46,1,0,replication.pt,retrieval,False,False
423,47,1,0,replication.pt,generalize,False,True
424,47,1,0,replication.pt,generalize,False,False
425,47,1,0,replication.pt,generalize,False,False
426,47,1,0,replication.pt,generalize,False,False
427,47,1,0,replication.pt,generalize,True,False
428,47,1,0,replication.pt,retrieval,False,False
429,47,1,0,replication.pt,retrieval,False,False
430,47,1,0,replication.pt,retrieval,False,False
431,47,1,0,replication.pt,retrieval,False,False
432,48,1,0,replication.pt,generalize,False,True
433,48,1,0,replication.pt,generalize,False,False
434,48,1,0,replication.pt,generalize,False,False
435,48,1,0,replication.pt,generalize,False,False
436,48,1,0,replication.pt,generalize,True,False
437,48,1,0,replication.pt,retrieval,False,False
438,48,1,0,replication.pt,retrieval,False,False
439,48,1,0,replication.pt,retrieval,False,False
440,48,1,0,replication.pt,retrieval,False,False
441,49,1,0,replication.pt,generalize,False,True
442,49,1,0,replication.pt,generalize,False,False
443,49,1,0,replication.pt,generalize,False,False
444,49,1,0,replication.pt,generalize,False,False
445,49,1,0,replication.pt,generalize,True,False
446,49,1,0,replication.pt,retrieval,False,False
447,49,1,0,replication.pt,retrieval,False,False
448,49,1,0,replication.pt,retrieval,False,False
449,49,1,0,replication.pt,retrieval,False,False
450,50,1,0,replication.pt,generalize,False,True
451,50,1,0,replication.pt,generalize,False,False
452,50,1,0,replication.pt,generalize,False,False
453,50,1,0,replication.pt,generalize,False,False
454,50,1,0,replication.pt,generalize,False,False
455,50,1,0,replication.pt,retrieval,False,False
456,50,1,0,replication.pt,retrieval,False,False
457,50,1,0,replication.pt,retrieval,False,False
458,50,1,0,replication.pt,retrieval,False,False
459,51,1,0,replication.pt,generalize,False,True
460,51,1,0,replication.pt,generalize,False,False
461,51,1,0,replication.pt,generalize,False,False
462,51,1,0,replication.pt,generalize,False,False
463,51,1,0,replication.pt,generalize,False,False
464,51,1,0,replication.pt,retrieval,False,False
465,51,1,0,replication.pt,retrieval,False,False
466,51,1,0,replication.pt,retrieval,False,False
467,51,1,0,replication.pt,retrieval,False,False
468,52,1,0,replication.pt,generalize,False,True
469,52,1,0,replication.pt,generalize,False,False
470,52,1,0,replication.pt,generalize,False,False
471,52,1,0,replication.pt,generalize,False,False
472,52,1,0,replication.pt,generalize,False,False
473,52,1,0,replication.pt,retrieval,False,False
474,52,1,0,replication.pt,retrieval,False,False
475,52,1,0,replication.pt,retrieval,False,False
476,52,1,0,replication.pt,retrieval,False,False
477,53,1,0,replication.pt,generalize,False,True
478,53,1,0,replication.pt,generalize,False,False
479,53,1,0,replication.pt,generalize,False,False
480,53,1,0,replication.pt,generalize,False,False
481,53,1,0,replication.pt,generalize,True,False
482,53,1,0,replication.pt,retrieval,False,False
483,53,1,0,replication.pt,retrieval,False,False
484,53,1,0,replication.pt,retrieval,False,False
485,53,1,0,replication.pt,retrieval,False,False
486,54,1,0,replication.pt,generalize,False,True
487,54,1,0,replication.pt,generalize,False,False
488,54,1,0,replication.pt,generalize,False,False
489,54,1,0,replication.pt,generalize,False,False
490,54,1,0,replication.pt,generalize,True,False
491,54,1,0,replication.pt,retrieval,False,False
492,54,1,0,replication.pt,retrieval,False,False
493,54,1,0,replication.pt,retrieval,False,False
494,54,1,0,replication.pt,retrieval,False,False
495,55,1,0,replication.pt,generalize,False,True
496,55,1,0,replication.pt,generalize,False,False
497,55,1,0,replication.pt,generalize,False,False
498,55,1,0,replication.pt,generalize,False,False
499,55,1,0,replication.pt,generalize,False,False
500,55,1,0,replication.pt,retrieval,False,False
501,55,1,0,replication.pt,retrieval,False,False
502,55,1,0,replication.pt,retrieval,False,False
503,55,1,0,replication.pt,retrieval,False,False
504,56,1,0,replication.pt,generalize,False,True
505,56,1,0,replication.pt,generalize,False,False
506,56,1,0,replication.pt,generalize,False,False
507,56,1,0,replication.pt,generalize,False,False
508,56,1,0,replication.pt,generalize,False,False
509,56,1,0,replication.pt,retrieval,False,False
510,56,1,0,replication.pt,retrieval,False,False
511,56,1,0,replication.pt,retrieval,False,False
512,56,1,0,replication.pt,retrieval,False,False
513,57,1,0,replication.pt,generalize,False,True
514,57,1,0,replication.pt,generalize,False,False
515,57,1,0,replication.pt,generalize,False,False
516,57,1,0,replication.pt,generalize,False,False
517,57,1,0,replication.pt,generalize,True,False
518,57,1,0,replication.pt,retrieval,False,False
519,57,1,0,replication.pt,retrieval,False,False
520,57,1,0,replication.pt,retrieval,False,False
521,57,1,0,replication.pt,retrieval,False,False
522,58,1,0,replication.pt,generalize,False,True
523,58,1,0,replication.pt,generalize,False,False
524,58,1,0,replication.pt,generalize,False,False
525,58,1,0,replication.pt,generalize,False,False
526,58,1,0,replication.pt,generalize,True,False
527,58,1,0,replication.pt,retrieval,False,False
528,58,1,0,replication.pt,retrieval,False,False
529,58,1,0,replication.pt,retrieval,False,False
530,58,1,0,replication.pt,retrieval,False,False
531,59,1,0,replication.pt,generalize,False,True
532,59,1,0,replication.pt,generalize,False,False
533,59,1,0,replication.pt,generalize,False,False
534,59,1,0,replication.pt,generalize,False,False
535,59,1,0,replication.pt,generalize,True,False
536,59,1,0,replication.pt,retrieval,False,False
537,59,1,0,replication.pt,retrieval,False,False
538,59,1,0,replication.pt,retrieval,False,False
539,59,1,0,replication.pt,retrieval,False,False
540,60,1,0,replication.pt,generalize,False,True
541,60,1,0,replication.pt,generalize,False,False
542,60,1,0,replication.pt,generalize,False,False
543,60,1,0,replication.pt,generalize,False,False
544,60,1,0,replication.pt,generalize,True,False
545,60,1,0,replication.pt,retrieval,False,False
546,60,1,0,replication.pt,retrieval,False,False
547,60,1,0,replication.pt,retrieval,False,False
548,60,1,0,replication.pt,retrieval,False,False
549,61,1,0,replication.pt,generalize,False,True
550,61,1,0,replication.pt,generalize,False,False
551,61,1,0,replication.pt,generalize,False,False
552,61,1,0,replication.pt,generalize,False,False
553,61,1,0,replication.pt,generalize,True,False
554,61,1,0,replication.pt,retrieval,False,False
555,61,1,0,replication.pt,retrieval,False,False
556,61,1,0,replication.pt,retrieval,False,False
557,61,1,0,replication.pt,retrieval,False,False
558,62,1,0,replication.pt,generalize,False,True
559,62,1,0,replication.pt,generalize,False,False
560,62,1,0,replication.pt,generalize,False,False
561,62,1,0,replication.pt,generalize,False,False
562,62,1,0,replication.pt,generalize,True,False
563,62,1,0,replication.pt,retrieval,False,False
564,62,1,0,replication.pt,retrieval,False,False
565,62,1,0,replication.pt,retrieval,False,False
566,62,1,0,replication.pt,retrieval,False,False
567,63,1,0,replication.pt,generalize,False,True
568,63,1,0,replication.pt,generalize,False,False
569,63,1,0,replication.pt,generalize,False,False
570,63,1,0,replication.pt,generalize,False,False
571,63,1,0,replication.pt,generalize,False,False
572,63,1,0,replication.pt,retrieval,False,False
573,63,1,0,replication.pt,retrieval,False,False
574,63,1,0,replication.pt,retrieval,False,False
575,63,1,0,replication.pt,retrieval,False,False
576,64,1,0,replication.pt,generalize,False,True
577,64,1,0,replication.pt,generalize,False,False
578,64,1,0,replication.pt,generalize,False,False
579,64,1,0,replication.pt,generalize,False,False
580,64,1,0,replication.pt,generalize,False,False
581,64,1,0,replication.pt,retrieval,False,False
582,64,1,0,replication.pt,retrieval,False,False
583,64,1,0,replication.pt,retrieval,False,False
584,64,1,0,replication.pt,retrieval,False,False
585,65,1,0,replication.pt,generalize,False,True
586,65,1,0,replication.pt,generalize,False,False
587,65,1,0,replication.pt,generalize,False,False
588,65,1,0,replication.pt,generalize,False,False
589,65,1,0,replication.pt,generalize,True,False
590,65,1,0,replication.pt,retrieval,False,False
591,65,1,0,replication.pt,retrieval,False,False
592,65,1,0,replication.pt,retrieval,False,False
593,65,1,0,replication.pt,retrieval,False,False
594,66,1,0,replication.pt,generalize,False,True
595,66,1,0,replication.pt,generalize,False,False
596,66,1,0,replication.pt,generalize,False,False
597,66,1,0,replication.pt,generalize,False,False
598,66,1,0,replication.pt,generalize,False,False
599,66,1,0,replication.pt,retrieval,False,False
600,66,1,0,replication.pt,retrieval,False,False
601,66,1,0,replication.pt,retrieval,False,False
602,66,1,0,replication.pt,retrieval,False,False
603,67,1,0,replication.pt,generalize,False,True
604,67,1,0,replication.pt,generalize,False,False
605,67,1,0,replication.pt,generalize,False,False
606,67,1,0,replication.pt,generalize,False,False
607,67,1,0,replication.pt,generalize,False,False
608,67,1,0,replication.pt,retrieval,False,False
609,67,1,0,replication.pt,retrieval,False,False
610,67,1,0,replication.pt,retrieval,False,False
611,67,1,0,replication.pt,retrieval,False,False
612,68,1,0,replication.pt,generalize,False,True
613,68,1,0,replication.pt,generalize,False,False
614,68,1,0,replication.pt,generalize,False,False
615,68,1,0,replication.pt,generalize,False,False
616,68,1,0,replication.pt,generalize,True,False
617,68,1,0,replication.pt,retrieval,False,False
618,68,1,0,replication.pt,retrieval,False,False
619,68,1,0,replication.pt,retrieval,False,False
620,68,1,0,replication.pt,retrieval,False,False
